"PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","P1","P2","P3_1","P3_2","P3_3","P3_4","P3_5","P3_6","P3_7","P3_8","P3_9","P3_10","P3_11","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","P4_9","P4_10","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","TIPO","FAC_MOD"
"1021","8","11A197","15","40093","2","1","0","04",9,8,9,10,9,10,10,10,10,10,8,9,0,10,10,10,10,10,0,0,0,0,0,10,10,10,10,10,10,0,10,10,8,7,5,1,32952
"1021","8","11A197","15","40093","1","1","0","01",8,8,8,7,9,9,8,9,9,9,9,7,6,7,4,4,7,7,0,5,5,0,0,8,9,8,8,8,8,6,7,8,7,7,6,1,16476
"1021","8","11A197","15","40093","3","1","0","03",8,8,8,9,9,9,9,9,9,9,9,7,7,5,5,5,5,6,5,4,5,4,3,6,7,7,8,8,6,5,8,6,6,7,7,1,32952
"1021","8","11A197","15","40093","4","1","0","02",8,8,5,5,8,8,10,8,8,8,8,10,8,7,6,6,6,7,3,3,3,3,2,8,8,8,8,8,8,2,8,9,3,4,1,1,32952
"1021","3","12A204","15","40117","2","1","0","04",9,7,8,10,10,10,7,10,8,10,8,8,5,10,6,6,10,8,0,3,3,0,0,10,9,10,10,10,7,6,10,7,8,8,10,1,31404
"1021","3","12A204","15","40117","1","1","0","02",10,8,9,10,10,10,10,10,10,10,0,10,7,6,5,5,9,10,4,5,4,0,0,10,8,10,10,9,7,0,10,10,6,6,8,1,23553
"1021","3","12A204","15","40117","3","1","0","01",10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,10,10,0,4,0,0,0,9,9,10,10,10,10,0,10,5,8,5,0,1,31404
"1021","3","12A204","15","40117","4","1","0","02",10,10,10,10,10,10,10,10,10,10,10,10,0,10,6,10,10,10,0,4,0,0,0,9,9,10,10,10,10,0,10,5,8,5,0,1,15702
"1021","2","11A205","15","40150","3","1","0","01",10,5,8,9,10,10,9,9,9,10,10,9,2,8,8,9,8,9,1,1,1,1,1,9,9,8,10,9,8,8,10,10,10,10,10,1,12985
"1021","2","11A205","15","40150","1","1","0","01",9,9,10,10,10,10,10,10,10,10,8,9,5,9,9,8,9,8,1,1,2,1,0,0,9,9,10,9,7,5,10,10,10,7,10,1,19477
"1021","8","12A197","15","40152","2","1","0","01",8,8,9,9,8,6,9,9,9,9,8,9,8,10,5,5,5,5,0,4,4,4,5,10,10,9,9,8,8,7,9,10,8,6,6,1,15264
"1021","8","12A197","15","40152","1","1","0","02",5,2,7,6,5,5,7,6,6,8,7,6,7,10,9,9,9,10,0,0,0,0,0,7,7,7,5,7,6,5,6,6,6,6,7,1,30528
"1021","8","12A197","15","40152","4","1","0","04",7,5,8,10,10,9,9,10,10,10,6,9,8,7,10,5,9,10,2,0,4,0,0,9,6,8,9,7,10,0,9,7,0,5,4,1,38160
"1021","8","12A197","15","40152","3","1","0","01",10,10,10,10,10,10,10,10,10,10,5,10,0,8,8,10,8,8,0,0,0,1,0,10,10,10,10,10,8,5,9,8,7,5,5,1,15264
"1021","2","11A205","15","40178","1","1","0","02",10,9,10,10,10,10,10,10,10,8,8,8,5,9,8,7,8,8,0,2,2,1,0,10,8,10,10,8,8,8,10,10,8,7,8,1,34313
"1021","2","11A205","15","40178","3","1","0","01",9,9,10,8,10,10,10,10,10,10,8,8,5,8,8,8,8,8,1,1,2,1,0,10,8,9,8,8,9,8,10,10,8,8,6,1,8578
"1021","2","11A205","15","40178","4","1","0","01",9,8,9,9,10,10,10,10,10,8,8,10,3,8,8,8,10,9,2,1,2,0,0,9,9,9,8,8,8,7,10,10,9,6,7,1,17157
"1021","1","12A206","15","40181","4","1","0","01",8,8,9,8,9,9,10,10,10,9,6,8,5,8,8,8,10,8,2,2,2,0,2,9,8,9,9,8,8,7,10,10,8,7,7,1,6801
"1021","1","12A206","15","40181","2","1","0","01",5,6,10,10,10,10,10,10,5,9,10,5,4,10,7,5,7,8,0,3,5,2,0,0,5,10,8,0,0,0,10,6,8,8,5,1,20402
"1021","1","12A206","15","40181","3","1","0","01",7,7,10,10,10,10,10,10,10,10,7,9,9,10,10,10,10,10,0,0,0,0,0,9,9,10,10,10,10,0,10,10,10,0,10,1,6801
"1021","1","12A206","15","40181","1","1","0","02",10,10,10,8,10,10,10,10,10,10,10,9,5,6,5,8,10,7,4,5,2,0,0,8,8,10,10,10,7,3,10,8,5,8,6,1,27203
