"R_DEF_MOD","PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","NOM","C_RES","PAR","SEX","EDA","F_NAC","ALF","I_NIV","I_ANIO","A_ESC","E_CON","C_ACT","OCU","A_ECO","POS","I_PER","ING","TIPO","ELEGIDO","FACTOR","FAC_MOD"
"00","1021","5","12B192","01","40302","2","1","0","01","-","1","1","1","27","06/12/1993","1","03","3","2","1","01","7","3","3","1","001500",1,"1",6803,13710
"00","1021","5","12B192","01","40302","1","1","0","01","-","1","1","2","42","11/01/1979","1","03","3","2","2","01","7","2","3","1","001200",1,"1",6803,6855
"00","1021","5","12B192","01","40302","4","1","0","03","-","1","3","1","18","17/07/2003","1","04","1","1","6","06",,,,,,1,,6803,0
"00","1021","5","12B192","01","40302","4","1","0","01","-","1","1","1","62","19/02/1959","1","02","5","2","1","08",,,,,,1,,6803,0
"00","1021","5","12B192","01","40302","4","1","0","02","-","1","2","2","57","15/07/1964","1","02","6","2","1","07",,,,,,1,"1",6803,20565
"00","1021","5","12B192","01","40302","3","1","0","01","-","1","1","1","33","03/10/1988","2","02","1","2","1","01","5","4","3","1","001600",1,"1",6803,13710
"00","1021","5","12B192","01","40302","3","1","0","05","-","1","3","1","17","06/10/2004","1","02","6","2","6","01","4","4","3","1","000900",1,,6803,0
"00","1021","5","12B192","01","40302","3","1","0","03","-","1","3","2","12","22/10/2008","1","02","6","1","6","06",,,,,,1,,6803,0
"00","1021","5","12B192","01","40302","3","1","0","04","-","1","3","1","10","22/10/2010","1","02","4","1",,,,,,,,1,,6803,0
"00","1021","5","12B192","01","40302","3","1","0","02","-","1","2","2","33","22/10/1987","1","03","3","2","1","01","4","4","3","1","001200",1,,6803,0
"00","1021","5","12B192","01","40302","2","1","0","04","-","1","3","1","04","21/06/2017",,,,,,,,,,,,1,,6803,0
"00","1021","5","12B192","01","40302","2","1","0","02","-","1","2","2","24","17/07/1997","1","04","1","2","1","07",,,,,,1,,6803,0
"00","1021","5","12B192","01","40302","2","1","0","03","-","1","3","1","06","08/10/2014","2","01","2","1",,,,,,,,1,,6803,0
"00","1021","5","12B192","01","40302","2","1","0","05","-","1","3","1","02","04/01/2019",,,,,,,,,,,,1,,6803,0
"00","1021","5","12B192","01","40302","1","1","0","03","-","1","3","2","08","11/05/2013","1","02","1","1",,,,,,,,1,,6803,0
"00","1021","1","11A206","01","40324","3","1","0","02","-","1","2","2","37","11/05/1984","1","03","3","2","5","07",,,,,,1,,7241,0
"00","1021","1","11A206","01","40324","3","1","0","03","-","1","3","1","15","22/10/2005","1","04","1","2","6","01","7","3","3","1","000600",1,,7241,0
"00","1021","1","11A206","01","40324","3","1","0","04","-","1","3","1","12","09/09/2009","1","03","1","1","6","06",,,,,,1,,7241,0
