"CD","PER","MPIO","N_ENT","AGEB","UPM","AREA","FOL","ENT","CON","N_PRO_VIV","V_SEL","N_HOG","H_MUD","R_PRE","FCH_PRE","R_DEF","FCH_DEF","E_OBS","RFC_ENT","RFC_SUP","P1","P2","P3","P4","R_INF","R_ELE","TEL","R_HAB","R_NUE","R_AUS","DIASEM","HORA","R_PRE_MOD","R_DEF_MOD","TIPO","FACTOR"
"40","1021","003","7","292-4","0300171","40","12A198","03","40063","0047","4","1","0","00","06/10/2021","00","08/10/2021","1","-","-","03","1",,,"01","01","-","03","00","00","-",,"00","00",1,6025
"40","1021","003","7","292-4","0300171","40","12A198","03","40063","0099","2","1","0","00","20/10/2021","00","21/10/2021","2","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,6025
"40","1021","003","7","292-4","0300171","40","12A198","03","40063","0060","3","1","0","00","15/10/2021","00","19/10/2021","1","-","-","04","1",,,"01","01","-","04","00","00","-",,"00","00",1,6025
"40","1021","003","6","403-2","0300537","40","13B191","03","40067","0047","4","1","0","03","21/10/2021","03","21/10/2021","1","-","-",,,,,,,"-",,,,"-",,"03","03",1,0
"40","1021","003","6","403-2","0300537","40","13B191","03","40067","0155","1","1","1","00","19/10/2021","00","19/10/2021","1","-","-","01",,,,"02","02","-","01","00","01","-",,"00","00",1,11017
"40","1021","003","6","403-2","0300537","40","13B191","03","40067","0069","3","1","0","00","18/10/2021","00","19/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,11017
"40","1021","003","6","403-2","0300537","40","13B191","03","40067","0078","2","1","1","00","13/10/2021","00","16/10/2021","1","-","-","06","1",,,"02","03","-","06","00","00","-",,"00","00",1,11017
"40","1021","003","8","197-9","0300034","40","11A197","03","40112","0044","4","1","0","00","14/10/2021","00","16/10/2021","1","-","-","03","1",,,"02","02","-","03","00","00","-",,"00","00",1,6172
"40","1021","003","8","197-9","0300034","40","11A197","03","40112","0088","1","1","1","00","04/10/2021","00","08/10/2021","1","-","-","04","1",,,"01","01","-","04","00","00","-",,"00","00",1,6172
"40","1021","003","8","197-9","0300034","40","11A197","03","40112","0002","2","1","0","00","05/10/2021","00","08/10/2021","1","-","-","05","1",,,"05","05","-","05","00","00","-",,"00","00",1,6172
"40","1021","003","8","197-9","0300034","40","11A197","03","40112","0067","3","1","0","00","04/10/2021","00","08/10/2021","1","-","-","04","1",,,"02","02","-","04","00","00","-",,"00","00",1,6172
"40","1021","003","6","308-7","0300247","40","12B191","03","40148","0030","1","1","0","00","04/10/2021","00","08/10/2021","1","-","-","02","1",,,"02","02","-","02","00","00","-",,"00","00",1,7485
"40","1021","003","6","308-7","0300247","40","12B191","03","40148","0016","2","1","0","00","01/10/2021","00","08/10/2021","1","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,7485
"40","1021","003","6","308-7","0300247","40","12B191","03","40148","0077","3","1","0","00","05/10/2021","00","08/10/2021","1","-","-","03","1",,,"01","01","-","03","00","00","-",,"00","00",1,7485
"40","1021","003","6","308-7","0300247","40","12B191","03","40148","0099","4","1","0","00","21/10/2021","00","21/10/2021","2","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,7485
"40","1021","003","2","224-8","0300147","40","12A205","03","40170","0093","1","1","0","00","07/10/2021","00","21/10/2021","2","-","-","03","1",,,"01","01","-","02","01","00","-",,"00","00",1,9718
"40","1021","003","2","224-8","0300147","40","12A205","03","40170","0030","4","1","0","00","14/10/2021","00","21/10/2021","2","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,9718
"40","1021","003","2","224-8","0300147","40","12A205","03","40170","0148","2","1","0","00","11/10/2021","00","21/10/2021","2","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,9718
"40","1021","003","2","224-8","0300147","40","12A205","03","40170","0064","3","1","0","00","14/10/2021","00","21/10/2021","2","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,9718
"40","1021","003","5","424-4","0300570","40","13B192","03","40206","0009","3","1","0","00","12/10/2021","00","15/10/2021","1","-","-","06","1",,,"04","04","-","06","00","01","-",,"00","00",1,9513
"40","1021","003","5","424-4","0300570","40","13B192","03","40206","0103","1","1","0","00","13/10/2021","00","16/10/2021","1","-","-","05","1",,,"01","01","-","05","00","00","-",,"00","00",1,9513
"40","1021","003","5","424-4","0300570","40","13B192","03","40206","0056","2","1","0","00","13/10/2021","00","19/10/2021","1","-","-","04","1",,,"02","02","-","04","00","00","-",,"00","00",1,9513
"40","1021","003","5","424-4","0300570","40","13B192","03","40206","0038","4","1","0","00","13/10/2021","00","19/10/2021","1","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,9513
"40","1021","003","4","378-2","0300435","40","13A203","03","40277","0161","2","1","0","00","16/10/2021","00","21/10/2021","1","-","-","05","1",,,"02","02","-","05","00","00","-",,"00","00",1,13040
"40","1021","003","4","378-2","0300435","40","13A203","03","40277","0027","4","1","0","00","05/10/2021","00","08/10/2021","1","-","-","04","1",,,"03","03","-","04","00","00","-",,"00","00",1,13040
"40","1021","003","4","378-2","0300435","40","13A203","03","40277","0044","3","1","0","00","12/10/2021","00","19/10/2021","1","-","-","03","1",,,"02","01","-","03","00","00","-",,"00","00",1,13040
"40","1021","003","4","378-2","0300435","40","13A203","03","40277","0080","1","1","0","03","21/10/2021","03","21/10/2021","1","-","-",,,,,,,"-",,,,"-",,"03","03",1,0
"40","1021","003","1","309-1","0300250","40","13A206","03","40283","0036","4","1","0","00","04/10/2021","00","08/10/2021","1","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,10810
"40","1021","003","1","309-1","0300250","40","13A206","03","40283","0058","2","1","0","00","01/10/2021","00","08/10/2021","1","-","-","02","1",,,"01","01","-","02","00","00","-",,"00","00",1,10810
"40","1021","003","1","309-1","0300250","40","13A206","03","40283","0089","1","1","0","03","21/10/2021","03","21/10/2021","1","-","-",,,,,,,"-",,,,"-",,"03","03",1,0
"40","1021","003","1","309-1","0300250","40","13A206","03","40283","0003","3","1","0","00","05/10/2021","00","08/10/2021","1","-","-","01",,,,"01","01","-","01","00","00","-",,"00","00",1,10810
"40","1021","003","1","316-1","0300272","40","11A206","03","40307","0014","1","1","0","12","21/10/2021","12","21/10/2021","1","-","-",,,,,,,"-",,,,"-",,"12","12",1,0
"40","1021","003","1","316-1","0300272","40","11A206","03","40307","0111","4","1","0","00","06/10/2021","00","08/10/2021","2","-","-","06","1",,,"02","01","-","06","00","00","-",,"00","00",1,8156
